"","dates","gpr"
"1",1985-01-01,0.859264656915004
"2",1985-04-01,0.820518828235971
"3",1985-07-01,0.654119597972798
"4",1985-10-01,0.851684882234477
"5",1986-01-01,0.750392048865502
"6",1986-04-01,1.24704947486355
"7",1986-07-01,0.61120107801639
"8",1986-10-01,0.697101535320068
"9",1987-01-01,0.677155336386926
"10",1987-04-01,0.774707315205503
"11",1987-07-01,0.811021989967964
"12",1987-10-01,0.757715650491879
"13",1988-01-01,0.648366225907745
"14",1988-04-01,0.585791975941164
"15",1988-07-01,0.570798993757326
"16",1988-10-01,0.554355585224535
"17",1989-01-01,0.523189587531697
"18",1989-04-01,0.519747689072232
"19",1989-07-01,0.459895755740021
"20",1989-10-01,0.598994830216659
"21",1990-01-01,0.564506093581004
"22",1990-04-01,0.58013989117385
"23",1990-07-01,1.28881432355087
"24",1990-10-01,1.43831455408417
"25",1991-01-01,1.81290566850013
"26",1991-04-01,0.364630600466168
"27",1991-07-01,0.581095043089073
"28",1991-10-01,0.403025971988984
"29",1992-01-01,0.416171430073753
"30",1992-04-01,0.381143866188906
"31",1992-07-01,0.469736189842792
"32",1992-10-01,0.387970897339188
"33",1993-01-01,0.538004298224672
"34",1993-04-01,0.510306645201184
"35",1993-07-01,0.485792483367902
"36",1993-10-01,0.339173110672145
"37",1994-01-01,0.452752392396857
"38",1994-04-01,0.427530427142555
"39",1994-07-01,0.431977938258656
"40",1994-10-01,0.445360413761908
"41",1995-01-01,0.301528973402302
"42",1995-04-01,0.433414727066054
"43",1995-07-01,0.397924745286767
"44",1995-10-01,0.291138975799883
"45",1996-01-01,0.433693377908179
"46",1996-04-01,0.347852666646131
"47",1996-07-01,0.495772987738855
"48",1996-10-01,0.342867916806471
"49",1997-01-01,0.301834865708607
"50",1997-04-01,0.296615568380992
"51",1997-07-01,0.278271956625495
"52",1997-10-01,0.447945030800174
"53",1998-01-01,0.840468213833423
"54",1998-04-01,0.488397302752257
"55",1998-07-01,0.568669402842691
"56",1998-10-01,0.79497838963392
"57",1999-01-01,0.525185983135751
"58",1999-04-01,0.514640715830637
"59",1999-07-01,0.516548807892465
"60",1999-10-01,0.466888184775551
"61",2000-01-01,0.430415866220828
"62",2000-04-01,0.379548971900534
"63",2000-07-01,0.315585431850402
"64",2000-10-01,0.38127982228267
"65",2001-01-01,0.43719543489093
"66",2001-04-01,0.428543235870637
"67",2001-07-01,1.25410587247425
"68",2001-10-01,2.38796616165526
"69",2002-01-01,1.21796182589596
"70",2002-04-01,1.52454445857389
"71",2002-07-01,1.88447417476678
"72",2002-10-01,2.32085672267235
"73",2003-01-01,4.64530901267675
"74",2003-04-01,1.68071953218763
"75",2003-07-01,0.902794631220997
"76",2003-10-01,0.907290836764125
"77",2004-01-01,1.01601477608778
"78",2004-04-01,1.19262221996796
"79",2004-07-01,1.22354800964759
"80",2004-10-01,0.826003535871229
"81",2005-01-01,0.662547976015228
"82",2005-04-01,0.539672928169298
"83",2005-07-01,0.881731474142948
"84",2005-10-01,0.621753277527189
"85",2006-01-01,0.69470206375594
"86",2006-04-01,0.78676412958457
"87",2006-07-01,1.34527350865864
"88",2006-10-01,0.759144096232633
"89",2007-01-01,0.779327614492619
"90",2007-04-01,0.786254077061426
"91",2007-07-01,0.770383209023046
"92",2007-10-01,0.900745722032542
"93",2008-01-01,0.686761356675901
"94",2008-04-01,0.57212441871818
"95",2008-07-01,0.797576952433842
"96",2008-10-01,0.627059922474101
"97",2009-01-01,0.586895744922789
"98",2009-04-01,0.561774713235861
"99",2009-07-01,0.601025096303116
"100",2009-10-01,0.681701185061577
"101",2010-01-01,0.672128874795528
"102",2010-04-01,0.580756953053125
"103",2010-07-01,0.547858071125926
"104",2010-10-01,0.737175380577025
"105",2011-01-01,0.841144360946015
"106",2011-04-01,0.651253118304397
"107",2011-07-01,0.425895393708488
"108",2011-10-01,0.524208090552982
"109",2012-01-01,0.687051685187631
"110",2012-04-01,0.52176585696993
"111",2012-07-01,0.552147466818888
"112",2012-10-01,0.586448961660886
"113",2013-01-01,0.749971544800908
"114",2013-04-01,0.774979313987278
"115",2013-07-01,0.946867190598281
"116",2013-10-01,0.612895869041103
"117",2014-01-01,0.882665488103553
"118",2014-04-01,0.915392206899273
"119",2014-07-01,1.89991735823963
"120",2014-10-01,1.077878405197
"121",2015-01-01,1.14921605751594
"122",2015-04-01,0.889847836435934
"123",2015-07-01,0.897819334679918
"124",2015-10-01,1.5955283476304
"125",2016-01-01,1.09510183867347
"126",2016-04-01,0.964090634660335
"127",2016-07-01,1.07171361990879
"128",2016-10-01,1.02384717085376
