Row,UniformCoverage,Length,UC,DQ,DQFin,DQReal
Historical,87.5968992248062,7.90529540609353,0.0209509668719908,1,0.089540433414018,0.223261752097651
QR-NFCI,48.062015503876,6.58663773084395,4.44089209850063e-16,0,0,2.48689957516035e-14
QR-NFCI+TS,36.4341085271318,6.24784554413676,0,1.77424963609951e-10,0,0
QR-NFCI+GF+TS,37.2093023255814,6.1363154433133,0,0,0,0
Full,21.7054263565892,5.85599876903615,0,0,0,0
Lasso,30.2325581395349,7.01854666159508,0,0,0,0
GARCH + BJPR,95.3488372093023,8.73154792893011,0.885971539234631,0.316076574930672,0.618575458264806,0.900301027805857
GJR-GARCH + BJPR,95.3488372093023,8.69344863448206,0.885971539234631,0.316076574930672,0.618575458264806,0.900301027805857
F-GARCH + BJPR,94.5736434108527,8.31104171318785,0.864403309867526,0.513138159978271,0.489146699211884,0.802345079909153
GARCH + Bonf.,93.7984496124031,8.64076263513208,0.649893173544557,0.619361947217858,0.669431183021515,0.808783953440014
GJR-GARCH + Bonf.,93.0232558139535,8.60801601096111,0.51222915053604,0.527944171336027,0.636162364857951,0.885803115154498
F-GARCH + Bonf.,93.0232558139535,8.32332585746052,0.499834549357378,0.845425936754702,0.68242840693601,0.729878740485683
GARCH + Marg,36.4341085271318,5.24742461029189,0,0,0,0
GJR-GARCH + Marg,36.4341085271318,5.24686298062342,0,0,0,0
F-GARCH + Marg,37.2093023255814,5.2325770667406,0,0.00473979609233377,1,0
