Predictors,M11,M21,M31,M41,M12,M22,M32,M42,M13,M23,M33,M43,M14,M24,M34,M44
AR_1,-0.0899345044454487,-0.141529149973435,-0.149471602549092,-0.172549933501922,-0.00974737013595648,0.0140492425072686,-0.0199175470032673,-0.0799610584269728,-0.0722572255115883,-0.0528628598436666,-0.0980089117501115,-0.124170194711804,-0.173205250421657,-0.127039491474439,-0.186155236982686,-0.246804305386319
AR_2,0.108240864684004,0.127266163517517,0.0684145799392503,0.00849019216085741,0.113971653017682,0.125851268370573,0.049675003740919,0.121266004879969,0.127312988013706,0.0703610008526483,-0.0203195690934363,-0.0238337386730551,0.009254156377433,-0.0430957875931405,-0.0574134386269467,-0.0115273420554952
AR_3,0.238491555167038,0.263177735385344,0.236290519600013,0.152671623699792,0.235382278746488,0.286537351801664,0.187997651270898,0.202548530158011,0.245295274347486,0.193012884742816,0.128254825733654,0.13284851599198,0.136386460837572,0.132157143946131,0.155715593828359,0.145478987891542
TAR_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TAR_2,0.125,0.125,0.0416666666666667,0.0416666666666667,0.125,0.0833333333333333,0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667,0.0416666666666667,0,0,0.0416666666666667,0
TAR_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NFCI_1,-0.791729530136616,-0.717891171979278,-0.634006402528671,-0.478018337764734,-0.64158278380193,-0.510608413839844,-0.475559790594582,-0.464386569350551,-0.469270233889515,-0.513604356301338,-0.494740742161339,-0.501966357930967,-0.342498678178863,-0.310928661750121,-0.281698235578662,-0.325391879965789
NFCI_2,-0.492784212267069,-0.522877870336048,-0.524276021508748,-0.286418123291421,-0.393306567527761,-0.28205759330102,-0.307771235375547,-0.279067719391134,-0.327246428919838,-0.164201521214642,-0.14949379450722,-0.236827116353028,-0.219349478440426,-0.098793907488357,-0.108307518191681,-0.0301989867445773
NFCI_3,-0.29507407123376,-0.207484091984984,-0.198836266930952,-0.0640977788184951,-0.158151677252732,-0.0317004552948023,-0.026366143191606,0.000357963830322383,0.00135869783963274,0.0427612078730629,0.0452764218418778,0.0280132401424906,0.0643119660528799,0.137567579483048,0.156692781057216,0.197726465387953
TNFCI_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TNFCI_2,0.291666666666667,0.333333333333333,0.458333333333333,0.25,0.416666666666667,0.208333333333333,0.208333333333333,0.25,0.25,0.208333333333333,0.125,0.166666666666667,0.0416666666666667,0.0833333333333333,0.0833333333333333,0.125
TNFCI_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TSP_1,0,0.110349682160754,0.0793250089778545,0.107376322892983,0,0.0934483234644281,0.164533347079747,0.11887699882447,0,0.0942561404597423,0.112189806744057,0.154807255183434,0,0.103984470006661,0.212015706906997,0.131102050874746
TSP_2,0,0.220494412002513,0.238226321391214,0.195062181003112,0,0.25463932400289,0.274363166580209,0.248781862991479,0,0.278810334198636,0.224349823273273,0.26143744082587,0,0.323991918392239,0.280554876847515,0.268139540369232
TSP_3,0,0.333214215735657,0.303896589829012,0.32212201558643,0,0.351001257115872,0.342012594554658,0.295553320750945,0,0.394087335618007,0.385142036799075,0.353808926555104,0,0.453872662457587,0.439949040180586,0.449353099308402
TTSP_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TTSP_2,NaN,0.0833333333333333,0.125,0.166666666666667,NaN,0.125,0.166666666666667,0.208333333333333,NaN,0.208333333333333,0.208333333333333,0.208333333333333,NaN,0.208333333333333,0.25,0.208333333333333
TTSP_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FAC_1,0,0,0.012314178009197,-0.033319268761637,0,0,0.0191945327318619,0.00268004580906301,0,0,0.00272862756752366,-0.0418226252177642,0,0,-0.0439719389438126,-0.072734801588189
FAC_2,0,0,0.0407395444699006,0.0114707725093001,0,0,0.0649714657509119,0.0449130607878615,0,0,0.0630666636517393,0.0496511126606561,0,0,0.024952316010589,0.0336239658382138
FAC_3,0,0,0.0732145127164098,0.0423505244225367,0,0,0.100833216681049,0.0925201730821821,0,0,0.138299300784429,0.128136606471429,0,0,0.10098453844865,0.101210083724815
TFAC_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TFAC_2,NaN,NaN,0.0416666666666667,0,NaN,NaN,0.0416666666666667,0.0833333333333333,NaN,NaN,0.166666666666667,0.125,NaN,NaN,0.0833333333333333,0
TFAC_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRV_1,0,0,0,-0.632743074376735,0,0,0,-0.302977687586233,0,0,0,-0.0354567219710874,0,0,0,-0.0141350373359457
CRV_2,0,0,0,-0.340280724602113,0,0,0,-0.0275779415548343,0,0,0,0.156920807587956,0,0,0,0.0755711473239926
CRV_3,0,0,0,-0.00743462359605657,0,0,0,0.138863408585401,0,0,0,0.276765539115246,0,0,0,0.37170386009251
TRV_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TRV_2,NaN,NaN,NaN,0.0833333333333333,NaN,NaN,NaN,0.0416666666666667,NaN,NaN,NaN,0.0416666666666667,NaN,NaN,NaN,0
TRV_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CHP_1,0,0,0,-0.0496518037893401,0,0,0,-0.164576350620344,0,0,0,-0.0557703172645482,0,0,0,-0.114033728045948
CHP_2,0,0,0,0.0456338452483549,0,0,0,0.061179308549118,0,0,0,0.0812038502405016,0,0,0,0.0335162809305446
CHP_3,0,0,0,0.221924155909819,0,0,0,0.185074979763484,0,0,0,0.248647782556782,0,0,0,0.222116585098533
TCHP_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TCHP_2,NaN,NaN,NaN,0,NaN,NaN,NaN,0.0416666666666667,NaN,NaN,NaN,0.0833333333333333,NaN,NaN,NaN,0
TCHP_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TL,0.116966093529817,0.113541728837926,0.111500876114492,0.104954403533939,0.123856340412207,0.119572820158129,0.116821619389035,0.111871341792376,0.127558276555002,0.122899373069785,0.119249454136877,0.114282646401738,0.129787196338643,0.123839726217401,0.12035897577478,0.116385361919242
DQ,83.3333333333333,87.5,95.8333333333333,91.6666666666667,87.5,95.8333333333333,100,95.8333333333333,87.5,91.6666666666667,91.6666666666667,100,95.8333333333333,91.6666666666667,100,95.8333333333333
